1,红富士苹果,6.8,0,234,水果,45
2,香蕉,3.5,1,345,水果,67
3,赣南脐橙,7.5,0,123,水果,23
4,巨峰葡萄,8.9,0,456,水果,89
5,丹东草莓,15.8,0,56,水果,12
6,山东大白菜,2.2,0,678,蔬菜,120
7,白萝卜,2.5,0,78,蔬菜,34
8,西红柿,2.8,0,89,蔬菜,45
9,黄瓜,2.6,0,90,蔬菜,56
10,长茄子,3.3,0,101,蔬菜,32
11,五花肉,28.5,0,202,肉类,23
12,牛腩肉,58.0,0,303,肉类,18
13,羊排,45.8,0,404,肉类,15
14,鸡腿,17.5,0,505,肉类,78
15,鸭胸肉,16.2,0,606,肉类,45
16,鲈鱼,26.8,0,707,海鲜,22
17,基围虾,55.0,0,808,海鲜,12
18,大闸蟹,88.0,0,909,海鲜,8
19,花蛤,12.5,0,100,海鲜,34
20,鱿鱼须,22.0,0,200,海鲜,56
21,乐事薯片,6.5,0,300,零食,98
22,德芙巧克力,8.8,0,400,零食,120
23,奥利奥饼干,12.0,1,50,零食,23
24,大白兔奶糖,25.0,0,60,零食,18
25,坚果礼盒,98.0,0,70,零食,8
26,可口可乐,3.0,0,80,饮料,34
27,纯牛奶,5.5,0,90,饮料,45
28,橙汁,8.0,0,100,饮料,23
29,咖啡,25.0,0,200,饮料,12
30,矿泉水,2.0,0,300,饮料,89
31,铅笔,1.5,0,400,文具,120
32,橡皮,2.0,0,500,文具,150
33,笔记本,5.0,0,10,文具,5
34,尺子,3.0,0,20,文具,8
35,书包,88.0,0,30,文具,3
36,牙刷,8.0,0,40,其他,12
37,牙膏,12.0,0,50,其他,18
38,毛巾,15.0,0,60,其他,22
39,香皂,5.0,0,70,其他,34
40,洗发水,38.0,0,80,其他,15
41,火龙果,9.5,0,90,水果,23
42,青椒,2.8,0,100,蔬菜,45
43,猪排骨,35.0,0,200,肉类,32
44,生蚝,22.0,0,300,海鲜,56
45,果冻,7.0,0,400,零食,89
46,绿茶,3.0,0,50,饮料,23
47,中性笔,8.0,0,60,文具,18
48,沐浴露,25.0,0,70,其他,12
49,凤梨,7.8,0,80,水果,34
50,洋葱,2.3,0,90,蔬菜,45
51,车厘子,35.0,0,50,水果,8
52,菠菜,3.2,0,120,蔬菜,50
53,牛腱子,65.0,0,150,肉类,15
54,三文鱼,70.0,0,80,海鲜,10
55,薯片组合装,15.0,1,200,零食,75
56,酸奶,6.0,0,180,饮料,60
57,便利贴,4.0,0,300,文具,90
58,洗衣液,35.0,0,40,其他,8
59,芒果,16.0,0,70,水果,12
60,胡萝卜,2.9,0,150,蔬菜,60
61,羊腿肉,52.0,0,100,肉类,10
62,蛏子,22.0,0,200,海鲜,30
63,巧克力礼盒,128.0,0,30,零食,5
64,苏打水,5.0,0,200,饮料,40
65,马克笔,12.0,0,100,文具,25
66,牙膏套装,22.0,0,60,其他,15
67,哈密瓜,8.5,0,110,水果,33
68,莲藕,3.8,0,180,蔬菜,70
69,五花肉卷,32.0,0,120,肉类,20
70,北极虾,45.0,0,90,海鲜,18
71,锅巴,5.0,0,250,零食,100
72,椰汁,7.0,0,140,饮料,35
73,修正带,6.0,0,200,文具,50
74,洗手液,18.0,0,70,其他,20
75,菠萝蜜,18.0,0,60,水果,10
76,芹菜,2.7,0,200,蔬菜,80
77,猪里脊肉,38.0,0,110,肉类,18
78,鲍鱼,80.0,0,50,海鲜,8
79,棉花糖,9.0,0,180,零食,45
80,红茶,4.0,0,220,饮料,88
81,文件夹,8.0,0,150,文具,30
82,肥皂,6.0,0,100,其他,25
83,山竹,22.0,0,40,水果,6
84,娃娃菜,2.5,0,250,蔬菜,100
85,牛腩块,62.0,0,90,肉类,12
86,鱿鱼圈,32.0,0,160,海鲜,40
87,果冻布丁,6.0,0,200,零食,60
88,运动饮料,6.5,0,120,饮料,36
89,铅笔盒,15.0,0,80,文具,15
90,护手霜,25.0,0,50,其他,10
91,柠檬,9.5,0,130,水果,39
92,土豆,2.4,0,300,蔬菜,120
93,猪蹄,38.0,0,80,肉类,10
94,扇贝,28.0,0,170,海鲜,34
95,虾条,5.5,0,220,零食,88
96,椰奶,8.0,0,100,饮料,25
97,胶水,3.0,0,200,文具,60
98,纸巾,10.0,0,70,其他,14
99,荔枝,15.0,0,90,水果,18
100,青椒肉丝,0.0,0,0,其他,0
